TEAM,YEAR,EXP,AVG HGT,n_players
Lafayette,2005,0.683,,3
Lafayette,2006,0.491,,2
Lafayette,2007,1.67,,3
Lamar,2003,3.0,,4
Lamar,2004,2.231,,4
Lamar,2005,2.509,,2
Lamar,2006,2.306,,4
Lamar,2007,2.236,,4
Lehigh,2003,2.404,,3
Lehigh,2004,1.812,,3
Lehigh,2005,2.25,,4
Lehigh,2006,2.015,,4
Lehigh,2007,1.968,,4
Liberty,2003,1.788,,5
Liberty,2004,1.964,,4
Liberty,2005,1.609,,3
Liberty,2006,1.254,,5
Liberty,2007,2.037,,3
Lipscomb,2004,1.246,,3
Lipscomb,2005,1.463,,2
Lipscomb,2006,2.151,,5
Lipscomb,2007,2.319,,4
Little Rock,2003,2.706,,3
Little Rock,2004,2.0,,2
Little Rock,2005,3.0,,2
Little Rock,2006,1.788,,4
Little Rock,2007,2.087,,3
Long Beach State,2003,2.493,,2
Long Beach State,2004,1.408,,3
Long Beach State,2005,2.004,,4
Long Beach State,2006,2.663,,3
Long Beach State,2007,3.0,,4
Longwood,2005,0.687,,3
Longwood,2006,1.449,,5
Longwood,2007,2.541,,4
Louisiana Monroe,2003,2.548,,2
Louisiana Monroe,2005,2.0,,1
Louisiana Monroe,2006,1.443,,2
Louisiana State,2003,2.457,,5
Louisiana State,2004,1.393,,4
Louisiana State,2005,1.481,,5
Louisiana State,2006,0.89,,5
Louisiana State,2007,1.317,,3
Louisiana Tech,2003,3.0,,2
Louisiana Tech,2004,1.336,,5
Louisiana Tech,2005,2.131,,5
Louisiana Tech,2006,2.601,,3
Louisiana Tech,2007,2.551,,4
Louisiana–Lafayette,2003,2.193,,5
Louisiana–Lafayette,2004,2.746,,4
Louisiana–Lafayette,2005,2.379,,5
Louisiana–Lafayette,2006,2.691,,3
Louisiana–Lafayette,2007,2.487,,2
Louisiana–Monroe,2007,1.63,,5
Louisville,2003,1.751,,2
Louisville,2004,1.759,,4
Louisville,2005,1.908,,6
Louisville,2006,1.596,,4
Louisville,2007,1.443,,4
Loyola (MD),2003,1.0,,2
Loyola (MD),2004,0.951,,3
Loyola (MD),2005,0.323,,3
Loyola (MD),2006,2.583,,2
Loyola (MD),2007,1.46,,4
Loyola Chicago,2003,2.501,,4
Loyola Chicago,2004,2.25,,5
Loyola Chicago,2005,1.203,,3
Loyola Chicago,2006,1.74,,4
Loyola Chicago,2007,1.801,,4
Loyola Marymount,2003,1.614,,3
Loyola Marymount,2004,2.011,,4
Loyola Marymount,2005,1.656,,3
Loyola Marymount,2006,2.233,,5
Loyola Marymount,2007,2.656,,3
Maine,2003,1.354,,2
Maine,2004,1.977,,2
Maine,2005,2.338,,3
Maine,2006,2.348,,3
Maine,2007,2.3,,4
Manhattan,2003,1.818,,4
Manhattan,2004,1.95,,6
Manhattan,2005,1.658,,3
