TEAM,ELITE SOS,YEAR
Tennessee St.,19.6,2004
Tennessee Tech,17.0,2004
Texas,33.4,2004
Texas A&M,26.7,2004
Texas A&M Corpus Chris,14.5,2004
Texas Pan American,17.4,2004
Texas Southern,1.4,2004
Texas St.,11.3,2004
Texas Tech,32.0,2004
The Citadel,17.3,2004
Toledo,22.5,2004
Towson,18.5,2004
Troy St.,13.7,2004
Tulane,22.5,2004
Tulsa,28.7,2004
UAB,27.9,2004
UC Irvine,20.2,2004
UC Riverside,20.3,2004
UC Santa Barbara,18.8,2004
UCF,12.5,2004
UCLA,28.5,2004
UMBC,10.5,2004
UMKC,14.8,2004
UNC Asheville,15.7,2004
UNC Greensboro,16.3,2004
UNC Wilmington,21.0,2004
UNLV,27.7,2004
USC,29.1,2004
UT Arlington,11.2,2004
UTEP,26.5,2004
UTSA,10.0,2004
Utah,26.7,2004
Utah St.,16.4,2004
VCU,20.2,2004
VMI,12.0,2004
Valparaiso,18.8,2004
Vanderbilt,31.4,2004
Vermont,9.5,2004
Villanova,33.3,2004
Virginia,35.3,2004
Virginia Tech,26.5,2004
Wagner,9.6,2004
Wake Forest,39.2,2004
Washington,29.1,2004
Washington St.,28.0,2004
Weber St.,17.7,2004
West Virginia,30.0,2004
Western Carolina,17.2,2004
Western Illinois,19.4,2004
Western Kentucky,21.4,2004
Western Michigan,19.7,2004
Wichita St.,23.2,2004
William & Mary,20.4,2004
Winthrop,8.7,2004
Wisconsin,32.1,2004
Wofford,20.9,2004
Wright St.,20.0,2004
Wyoming,27.2,2004
Xavier,30.5,2004
Yale,17.3,2004
Youngstown St.,23.0,2004
Air Force,26.5,2005
Akron,26.4,2005
Alabama,32.8,2005
Alabama A&M,0.9,2005
Alabama St.,3.4,2005
Albany,15.7,2005
Alcorn St.,3.7,2005
American,17.1,2005
Appalachian St.,14.1,2005
Arizona,34.7,2005
Arizona St.,30.3,2005
Arkansas,26.8,2005
Arkansas Little Rock,25.4,2005
Arkansas Pine Bluff,6.0,2005
Arkansas St.,21.4,2005
Army,15.0,2005
Auburn,32.3,2005
Austin Peay,21.6,2005
BYU,33.6,2005
Ball St.,29.0,2005
Baylor,30.4,2005
Belmont,10.8,2005
Bethune Cookman,4.1,2005
Binghamton,19.6,2005
Birmingham Southern,10.7,2005
Boise St.,20.9,2005
Boston College,32.4,2005
Boston University,17.7,2005
Bowling Green,26.6,2005
Bradley,30.2,2005
Brown,15.6,2005
Bucknell,19.1,2005
Buffalo,27.5,2005
Butler,21.5,2005
Cal Poly,21.0,2005
Cal St. Fullerton,21.8,2005
Cal St. Northridge,21.2,2005
California,30.9,2005
Campbell,12.6,2005
Canisius,15.8,2005
Centenary,21.5,2005
Central Connecticut,10.8,2005
Central Michigan,28.7,2005
Charleston Southern,13.0,2005
Charlotte,28.1,2005
Chattanooga,16.9,2005
Chicago St.,22.0,2005
Cincinnati,30.7,2005
Clemson,37.0,2005
Cleveland St.,24.4,2005
Coastal Carolina,14.2,2005
Colgate,16.5,2005
College of Charleston,13.2,2005
Colorado,35.2,2005
Colorado St.,28.6,2005
Columbia,11.2,2005
Connecticut,35.3,2005
Coppin St.,13.1,2005
Cornell,15.6,2005
Creighton,29.2,2005
Dartmouth,17.5,2005
Davidson,21.9,2005
Dayton,21.1,2005
DePaul,28.1,2005
Delaware,19.3,2005
Delaware St.,11.4,2005
Denver,23.1,2005
Detroit,25.0,2005
Drake,29.9,2005
Drexel,22.0,2005
Duke,38.8,2005
Duquesne,24.9,2005
East Carolina,31.8,2005
East Tennessee St.,18.3,2005
Eastern Illinois,19.7,2005
Eastern Kentucky,16.8,2005
Eastern Michigan,25.2,2005
Eastern Washington,19.1,2005
Elon,19.7,2005
Evansville,27.3,2005
FIU,23.8,2005
Fairfield,18.3,2005
Fairleigh Dickinson,10.8,2005
Florida,33.2,2005
Florida A&M,5.9,2005
Florida Atlantic,11.3,2005
Florida St.,37.8,2005
Fordham,21.8,2005
Fresno St.,22.1,2005
Furman,17.7,2005
Gardner Webb,10.2,2005
George Mason,17.8,2005
George Washington,23.3,2005
Georgetown,32.8,2005
Georgia,33.1,2005
Georgia Southern,15.4,2005
Georgia St.,14.6,2005
Georgia Tech,38.8,2005
Gonzaga,27.7,2005
Grambling St.,0.0,2005
Green Bay,22.4,2005
Hampton,5.7,2005
Hartford,16.1,2005
Harvard,17.4,2005
Hawaii,22.6,2005
High Point,10.0,2005
Hofstra,18.6,2005
Holy Cross,16.2,2005
Houston,29.3,2005
Howard,4.9,2005
IPFW,20.9,2005
IUPUI,20.7,2005
Idaho,21.2,2005
Idaho St.,12.1,2005
Illinois,34.7,2005
Illinois Chicago,25.1,2005
Illinois St.,28.5,2005
Indiana,37.4,2005
Indiana St.,30.4,2005
Iona,17.7,2005
Iowa,36.8,2005
Iowa St.,33.3,2005
Jackson St.,4.0,2005
Jacksonville,8.2,2005
Jacksonville St.,18.0,2005
James Madison,18.7,2005
Kansas,38.2,2005
Kansas St.,32.1,2005
Kent St.,29.2,2005
Kentucky,35.8,2005
LIU Brooklyn,10.2,2005
LSU,33.7,2005
La Salle,25.4,2005
Lafayette,19.7,2005
Lamar,16.8,2005
Lehigh,12.5,2005
Liberty,13.5,2005
Lipscomb,5.8,2005
Long Beach St.,22.0,2005
Longwood,12.1,2005
Louisiana Lafayette,26.6,2005
Louisiana Monroe,16.5,2005
Louisiana Tech,23.6,2005
Louisville,32.1,2005
Loyola Chicago,25.8,2005
Loyola MD,15.7,2005
Loyola Marymount,27.2,2005
Maine,17.7,2005
Manhattan,19.1,2005
Marist,16.0,2005
Marquette,27.1,2005
Marshall,31.2,2005
Maryland,34.6,2005
Maryland Eastern Shore,5.5,2005
Massachusetts,22.7,2005
McNeese St.,18.1,2005
Memphis,29.3,2005
Mercer,7.4,2005
Miami FL,33.8,2005
Miami OH,30.2,2005
Michigan,32.3,2005
Michigan St.,34.3,2005
Middle Tennessee,20.5,2005
Milwaukee,26.0,2005
Minnesota,31.8,2005
Mississippi,32.0,2005
Mississippi St.,32.3,2005
Mississippi Valley St.,4.0,2005
Missouri,34.7,2005
Monmouth,11.3,2005
Montana,16.1,2005
Montana St.,12.3,2005
Morehead St.,17.0,2005
Morgan St.,4.5,2005
Mount St. Mary's,8.6,2005
Murray St.,18.6,2005
N.C. State,37.6,2005
Navy,11.7,2005
Nebraska,31.1,2005
Nevada,24.2,2005
New Hampshire,18.2,2005
New Mexico,21.9,2005
New Mexico St.,25.0,2005
New Orleans,23.9,2005
Niagara,17.3,2005
Nicholls St.,15.6,2005
Norfolk St.,3.7,2005
North Carolina,39.9,2005
North Carolina A&T,8.2,2005
North Texas,20.5,2005
Northeastern,18.9,2005
Northern Arizona,13.1,2005
Northern Colorado,25.0,2005
Northern Illinois,28.6,2005
Northern Iowa,30.7,2005
Northwestern,32.5,2005
Northwestern St.,18.3,2005
Notre Dame,32.4,2005
Oakland,25.5,2005
Ohio,26.6,2005
Ohio St.,31.0,2005
Oklahoma,34.0,2005
Oklahoma St.,36.9,2005
Old Dominion,17.8,2005
Oral Roberts,18.8,2005
Oregon,33.0,2005
Oregon St.,29.1,2005
Pacific,23.6,2005
Penn,20.0,2005
Penn St.,34.6,2005
Pepperdine,25.6,2005
Pittsburgh,31.0,2005
Portland,24.5,2005
Portland St.,7.3,2005
Prairie View A&M,6.1,2005
Princeton,21.7,2005
Providence,37.1,2005
Purdue,40.0,2005
Quinnipiac,9.1,2005
Radford,10.3,2005
Rhode Island,23.0,2005
Rice,26.4,2005
Richmond,28.2,2005
Rider,16.8,2005
Robert Morris,11.1,2005
Rutgers,38.4,2005
SMU,24.6,2005
Sacramento St.,13.3,2005
Sacred Heart,11.1,2005
Saint Joseph's,27.9,2005
Saint Louis,30.3,2005
Saint Mary's,27.1,2005
Saint Peter's,17.1,2005
Sam Houston St.,16.7,2005
Samford,17.2,2005
San Diego,26.3,2005
San Diego St.,31.5,2005
San Francisco,27.3,2005
San Jose St.,25.5,2005
Santa Clara,25.9,2005
Savannah St.,10.1,2005
Seton Hall,32.2,2005
Siena,19.8,2005
South Alabama,24.5,2005
South Carolina,32.9,2005
South Carolina St.,3.8,2005
South Florida,26.1,2005
Southeast Missouri St.,20.3,2005
Southeastern Louisiana,15.5,2005
Southern,2.1,2005
Southern Illinois,31.7,2005
Southern Miss,25.0,2005
Southern Utah,17.5,2005
Southwest Missouri St.,30.1,2005
St. Bonaventure,23.1,2005
St. Francis NY,9.8,2005
St. Francis PA,11.0,2005
St. John's,35.4,2005
Stanford,35.2,2005
Stephen F. Austin,11.5,2005
Stetson,13.7,2005
Stony Brook,16.3,2005
Syracuse,32.0,2005
TCU,29.3,2005
Temple,29.9,2005
Tennessee,35.9,2005
Tennessee Martin,20.3,2005
Tennessee St.,25.0,2005
Tennessee Tech,16.3,2005
Texas,32.4,2005
Texas A&M,28.6,2005
Texas A&M Corpus Chris,11.1,2005
Texas Pan American,17.3,2005
Texas Southern,0.4,2005
Texas St.,15.1,2005
Texas Tech,35.9,2005
The Citadel,13.7,2005
Toledo,28.8,2005
Towson,17.5,2005
Troy,13.4,2005
Tulane,25.3,2005
Tulsa,22.8,2005
UAB,29.7,2005
UC Davis,17.1,2005
UC Irvine,19.2,2005
UC Riverside,19.7,2005
UC Santa Barbara,22.3,2005
UCF,9.7,2005
UCLA,32.6,2005
UMBC,14.5,2005
UMKC,18.3,2005
UNC Asheville,15.8,2005
UNC Greensboro,17.8,2005
UNC Wilmington,17.7,2005
UNLV,31.6,2005
USC,33.2,2005
UT Arlington,17.6,2005
UTEP,21.6,2005
UTSA,17.1,2005
Utah,27.9,2005
Utah St.,18.9,2005
Utah Valley St.,9.9,2005
VCU,19.6,2005
VMI,8.4,2005
Valparaiso,21.5,2005
Vanderbilt,32.7,2005
Vermont,20.0,2005
Villanova,36.2,2005
Virginia,39.1,2005
Virginia Tech,33.7,2005
Wagner,13.2,2005
Wake Forest,38.9,2005
Washington,35.4,2005
Washington St.,35.5,2005
Weber St.,13.0,2005
West Virginia,36.2,2005
Western Carolina,18.7,2005
Western Illinois,21.2,2005
Western Kentucky,22.1,2005
Western Michigan,27.5,2005
Wichita St.,29.6,2005
William & Mary,17.3,2005
Winthrop,11.1,2005
Wisconsin,37.8,2005
Wofford,17.8,2005
Wright St.,23.5,2005
Wyoming,29.3,2005
Xavier,23.7,2005
Yale,18.7,2005
Youngstown St.,21.6,2005
Air Force,22.8,2006
Akron,23.1,2006
Alabama,36.0,2006
Alabama A&M,3.6,2006
Alabama St.,8.2,2006
Albany,13.2,2006
Alcorn St.,10.3,2006
American,15.2,2006
Appalachian St.,14.5,2006
Arizona,38.0,2006
Arizona St.,30.4,2006
Arkansas,31.6,2006
Arkansas Little Rock,16.1,2006
Arkansas Pine Bluff,4.3,2006
Arkansas St.,20.7,2006
Army,11.4,2006
Auburn,34.3,2006
Austin Peay,13.4,2006
BYU,25.3,2006
Ball St.,22.9,2006
Baylor,40.0,2006
Belmont,8.7,2006
Bethune Cookman,4.0,2006
Binghamton,11.4,2006
Birmingham Southern,9.1,2006
Boise St.,23.3,2006
Boston College,33.3,2006
Boston University,16.5,2006
Bowling Green,25.3,2006
Bradley,32.5,2006
Brown,9.8,2006
Bucknell,17.0,2006
Buffalo,20.8,2006
Butler,23.7,2006
Cal Poly,20.8,2006
Cal St. Fullerton,14.4,2006
Cal St. Northridge,18.1,2006
California,33.5,2006
Campbell,7.2,2006
Canisius,20.7,2006
Centenary,16.4,2006
Central Connecticut,10.1,2006
Central Michigan,22.2,2006
Charleston Southern,14.9,2006
Charlotte,26.0,2006
Chattanooga,14.2,2006
Chicago St.,20.9,2006
Cincinnati,35.7,2006
Clemson,31.6,2006
Cleveland St.,22.0,2006
Coastal Carolina,11.9,2006
