TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
UT Arlington,2004,,,,
Utah St.,2004,,,,
VMI,2004,,,,
Villanova,2004,,,,
Virginia,2004,,,,
Virginia Tech,2004,,,,
Wagner,2004,,,,
Washington St.,2004,,,,
Weber St.,2004,,,,
West Virginia,2004,,,,
Western Carolina,2004,,,,
Western Illinois,2004,,,,
Western Kentucky,2004,,,,
Wichita St.,2004,,,,
William & Mary,2004,,,,
Winthrop,2004,,,,
Wofford,2004,,,,
Wright St.,2004,,,,
Wyoming,2004,,,,
Yale,2004,,,,
Youngstown St.,2004,,,,
