TEAM,YEAR,EXP,AVG HGT,EFF HGT,roster_size
Rhode Island,2002,,,,
Rice,2002,,,,
Richmond,2002,,,,
Rider,2002,,,,
Robert Morris,2002,,,,
SMU,2002,,,,
Rutgers,2002,,,,
Sacramento St.,2002,,,,
Sacred Heart,2002,,,,
Saint Joseph's,2002,,,,
Saint Louis,2002,,,,
Saint Mary's,2002,,,,
Saint Peter's,2002,,,,
Sam Houston St.,2002,,,,
Samford,2002,,,,
San Diego,2002,,,,
San Diego St.,2002,,,,
San Francisco,2002,,,,
San Jose St.,2002,,,,
Santa Clara,2002,,,,
Savannah St.,2002,,,,
Seton Hall,2002,,,,
Siena,2002,,,,
South Carolina St.,2002,,,,
Southwest Texas St.,2002,,,,
Stetson,2002,,,,
Tennessee St.,2002,,,,
Tennessee Tech,2002,,,,
Texas,2002,,,,
Texas Pan American,2002,,,,
Texas Southern,2002,,,,
Texas Tech,2002,,,,
The Citadel,2002,,,,
Toledo,2002,,,,
Towson,2002,,,,
Troy St.,2002,,,,
Tulane,2002,,,,
Tulsa,2002,,,,
UAB,2002,,,,
UC Irvine,2002,,,,
UC Riverside,2002,,,,
UC Santa Barbara,2002,,,,
UCF,2002,,,,
UCLA,2002,,,,
UMBC,2002,,,,
UMKC,2002,,,,
UNC Asheville,2002,,,,
UNC Greensboro,2002,,,,
UNC Wilmington,2002,,,,
UNLV,2002,,,,
USC,2002,,,,
UT Arlington,2002,,,,
UTEP,2002,,,,
UTSA,2002,,,,
Utah,2002,,,,
Utah St.,2002,,,,
VCU,2002,,,,
VMI,2002,,,,
Valparaiso,2002,,,,
Vanderbilt,2002,,,,
Vermont,2002,,,,
West Virginia,2002,,,,
Winthrop,2002,,,,
Wisconsin,2002,,,,
Wofford,2002,,,,
Wyoming,2002,,,,
Xavier,2002,,,,
Yale,2002,,,,
Northwestern,2002,,,,
Ohio St.,2002,,,,
Tennessee Martin,2002,,,,
Texas A&M,2002,,,,
Texas A&M Corpus Chris,2002,,,,
Wright St.,2002,,,,
Youngstown St.,2002,,,,
Notre Dame,2002,,,,
Alabama,2003,,,,
Arizona,2003,,,,
Arizona St.,2003,,,,
Auburn,2003,,,,
Austin Peay,2003,,,,
BYU,2003,,,,
Butler,2003,,,,
California,2003,,,,
Central Michigan,2003,,,,
Cincinnati,2003,,,,
Colorado,2003,,,,
Colorado St.,2003,,,,
Connecticut,2003,,,,
Creighton,2003,,,,
Dayton,2003,,,,
Duke,2003,,,,
East Tennessee St.,2003,,,,
Florida,2003,,,,
